tol_id,systematic_number,title,chapter,chapter_title,node_identifier,node_title,is_active,category_id,title_date,family_active_since,earliest_version_date,best_date,date_source,in_scope_to_2003,url,named_cantons,n_named_cantons
24576,1.1-1,"Vertrag zwischen den Ständen St.Gallen, Zürich und Schwyz betreffend die Festsetzung des Knotenpunktes, in welchem die Staatsgrenzen derselben auf dem Zürichsee bei Rapperswil zusammenlaufen",1,"Staat, Volk, Behörden",1.1,Gebiet,True,2,,1870-11-16,1871-03-10,1870-11-16,family_active_since,True,https://www.lexfind.ch/tol/24576/de,SG SZ ZH,3
24574,1.1-2,Vertrag zwischen den Ständen St.Gallen und Schwyz betreffend die Festsetzung der Staatsgrenze auf dem Zürichsee,1,"Staat, Volk, Behörden",1.1,Gebiet,True,2,,1870-11-16,1871-03-10,1870-11-16,family_active_since,True,https://www.lexfind.ch/tol/24574/de,SG SZ ZH,3
24575,1.1-3,Vertrag zwischen den Ständen St.Gallen und Zürich betreffend die Festsetzung der Staatsgrenze auf dem Zürichsee bei Rapperswil,1,"Staat, Volk, Behörden",1.1,Gebiet,True,2,,1870-09-28,1871-03-10,1870-09-28,family_active_since,True,https://www.lexfind.ch/tol/24575/de,SG ZH,2
34554,1.1-4,Staatsvertrag zwischen den Kantonen Zürich und Schaffhausen betreffend Festsetzung der Kantonsgrenze vom Urwerf (rechtsseitig) beziehungsweise der Ziegler’schen Tonwarenfabrik (linksseitig) bis Langwiesen,1,"Staat, Volk, Behörden",1.1,Gebiet,True,2,,1901-03-18,1901-10-21,1901-03-18,family_active_since,True,https://www.lexfind.ch/tol/34554/de,SH ZH,2
34564,1.2-2,Vereinbarung über die Konferenz der Kantonsregierungen,1,"Staat, Volk, Behörden",1.2,Zusammenarbeit,True,2,,1993-09-21,2006-03-24,1993-09-21,family_active_since,True,https://www.lexfind.ch/tol/34564/de,,0
24510,1.9-1,"Übereinkunft zwischen den hohen Ständen Luzern, Bern, Solothurn und Zug für die Organisation des Bistums Basel",1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1828-03-28,1828-07-13,1828-03-28,family_active_since,True,https://www.lexfind.ch/tol/24510/de,BE BS LU SO ZG,5
34593,1.9-10,"Übereinkunft zwischen dem katholischen Administrationsrat des Kantons St. Gallen und dem katholischen Kirchenrat des Kantons Thurgau betreffend die Kollaturverhältnisse in Hagenwil, Sitterdorf und Rickenbach",1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1869-08-06,1869-08-06,1869-08-06,family_active_since,True,https://www.lexfind.ch/tol/34593/de,SG TG,2
34595,1.9-11,Vereinbarung über die Pastoration und die Steuerpflicht der auf dem Gebiet des Hofes Raach wohnhaften Katholiken,1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1984-01-10,1984-01-16,1984-01-10,family_active_since,True,https://www.lexfind.ch/tol/34595/de,,0
34596,1.9-12,Vereinbarung über die Pastoration und die Steuerpflicht der auf dem Gebiet des Hofes Ruggisberg wohnhaften Katholiken,1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1984-01-10,1984-01-16,1984-01-10,family_active_since,True,https://www.lexfind.ch/tol/34596/de,,0
34555,1.9-3,Vertrag zwischen den Kantonen Schaffhausen und Thurgau betreffend die evangelisch-reformierte Kirchgemeinde Burg bei Stein am Rhein,1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1918-07-03,1919-03-31,1918-07-03,family_active_since,True,https://www.lexfind.ch/tol/34555/de,SH TG,2
34586,1.9-4,"Vertrag zwischen dem Regierungsrat des Kantons Zürich und dem evangelischen Kirchenrat des Kantons Thurgau über die Kirchenverhältnisse der Höfe Reggtal, Meiersboden und Horn",1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1926-04-24,1926-05-10,1926-04-24,family_active_since,True,https://www.lexfind.ch/tol/34586/de,TG ZH,2
34587,1.9-5,Regierungsrat des Kantons Zürich über die Bereinigung der Grenzen zwischen der Evangelischen Kirchgemeinde Aadorf- Aawangen und der Evangelisch-reformierten Kirchgemeinde Elgg,1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1974-01-16,1974-04-01,1974-01-16,family_active_since,True,https://www.lexfind.ch/tol/34587/de,ZH,1
34588,1.9-6,Vertrag zwischen dem Evangelischen Kirchenrat des Kantons Thurgau und dem Regierungsrat des Kantons Zürich über die Änderung der Grenzverhältnisse zwischen der Evangelischen Kirchgemeinde Dussnang und der Evangelisch-reformierten Kirchgemeinde Sitzberg,1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1997-10-22,1998-01-01,1997-10-22,family_active_since,True,https://www.lexfind.ch/tol/34588/de,TG ZH,2
34589,1.9-7,Übereinkunft zwischen den Kantonen Zürich und Thurgau betreffend die Grenzortschaften zürcherisch und thurgauisch Wilen,1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1886-10-23,1920-04-24,1886-10-23,family_active_since,True,https://www.lexfind.ch/tol/34589/de,TG ZH,2
34590,1.9-8,"Übereinkunft betreffend die kirchliche Besorgung der in Grenzgebieten des Kantons St. Gallen wohnenden Evangelischen, welche für ihre kirchlichen Angelegenheiten einer benachbarten Pfarrgemeinde des Kantons Thurgau zugeteilt werden",1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1870-05-13,2008-01-01,1870-05-13,family_active_since,True,https://www.lexfind.ch/tol/34590/de,SG TG,2
34591,1.9-8.1,Übereinkunft zwischen dem evangelischen Kirchenrat des Kantons St. Gallen und dem evangelischen Kirchenrat des Kantons Thurgau betreffend Aufhebung der bisherigen kirchlichen Zuteilung der Evangelischen in den politischen Gemeinden Wil und Bronschhofen zu der Gemeinde Sirnach und Einverleibung der evangelischen Einwohner der thurgauischen Ortschaft Rickenbach in die neu zu gründende Kirchgemeinde Wil,1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1889-06-28,1889-07-03,1889-06-28,family_active_since,True,https://www.lexfind.ch/tol/34591/de,SG TG,2
34592,1.9-8.2,Nachtrag zur Übereinkunft vom 11./14. Juni 1889 betreffend Zuteilung der evangelischen Einwohner zu Rickenbach und Wilen an die evangelische Kirchgemeinde Wil,1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,1889-06-11,1890-05-16,1890-06-13,1890-05-16,family_active_since,True,https://www.lexfind.ch/tol/34592/de,,0
34594,1.9-9,"Übereinkunft zwischen den Ständen Zürich und Thurgau betreffend definitive Regulierung der kirchlichen Verhältnisse der Höfe Renggerschwil, Scheurli und Emmerwies",1,"Staat, Volk, Behörden",1.9,Kirche und Staat,True,2,,1846-04-18,1846-04-18,1846-04-18,family_active_since,True,https://www.lexfind.ch/tol/34594/de,TG ZH,2
24507,2.3-1,"Übereinkommen zwischen den Regierungen der Kantone Appenzell A.Rh. und St.Gallen betreffend die Beurkundung und die grundbuchliche Behandlung von Rechtsgeschäften über dingliche Rechte an Grundstücken, die in beiden Kantonen liegen",2,"Privatrecht, Zivilrechtspflege",2.3,Sachenrecht,True,2,,1940-07-09,1941-03-24,1940-07-09,family_active_since,True,https://www.lexfind.ch/tol/24507/de,AR SG,2
24508,2.3-2,"Übereinkommen zwischen den Regierungen der Kantone St.Gallen und Thurgau betreffend die Beurkundung und die grundbuchliche Behandlung von Rechtsgeschäften über dingliche Rechte an Grundstücken, die in beiden Kantonen liegen",2,"Privatrecht, Zivilrechtspflege",2.3,Sachenrecht,True,2,,1938-09-10,1938-11-29,1938-09-10,family_active_since,True,https://www.lexfind.ch/tol/24508/de,SG TG,2
34578,2.3-3,"Übereinkunft zwischen den Kantonen Zürich und Thurgau betreffend die Beurkundung und die grundbuchliche Behandlung von Rechtsgeschäften über Grundstücke, die in beiden Kantonen liegen",2,"Privatrecht, Zivilrechtspflege",2.3,Sachenrecht,True,2,,1926-12-24,1927-02-04,1926-12-24,family_active_since,True,https://www.lexfind.ch/tol/34578/de,TG ZH,2
34579,2.3-4,"Übereinkunft zwischen den Kantonen Zürich und Thurgau betreffend die neue Feststellung der notarialischen Fertigungsgrenze für die auf der Kantonsgrenze Zürich-Thurgau liegenden Grundstücke der Gemeinden Ossingen, Waltalingen, zürcherisch Wilen und Oberneunforn",2,"Privatrecht, Zivilrechtspflege",2.3,Sachenrecht,True,2,,1907-10-18,1907-11-30,1907-10-18,family_active_since,True,https://www.lexfind.ch/tol/34579/de,TG ZH,2
24567,3.7-5,Vertrag zwischen den Kantonen Basel-Stadt und Zug zur Errichtung und zum Betrieb einer gemeinsamen Strafanstalt im Bostadel (Kanton Zug),3,Strafrechtspflege - Strafvollzug,3.7,Straf- und Massnahmenvollzug,True,2,,1972-12-21,1990-12-07,1972-12-21,family_active_since,True,https://www.lexfind.ch/tol/24567/de,BS ZG,2
24586,3.7-5.1,Personalverordnung für die Mitarbeiterinnen und Mitarbeiter der Strafanstalt Bostadel,3,Strafrechtspflege - Strafvollzug,3.7,Straf- und Massnahmenvollzug,True,2,,2000-11-28,2015-10-01,2000-11-28,family_active_since,True,https://www.lexfind.ch/tol/24586/de,,0
24417,4.1-1,Interkantonale Vereinbarung für Schulen mit spezifisch strukturierten Angeboten für Hochbegabte,4,Schule - Wissenschaft - Kultur,4.1,Allgemeines,True,2,,2003-02-20,2004-08-01,2003-02-20,family_active_since,True,https://www.lexfind.ch/tol/24417/de,,0
24607,4.1-1.1,Interkantonale Vereinbarung für Schulen mit spezifisch strukturierten Angeboten für Hochbegabte: Anhang,4,Schule - Wissenschaft - Kultur,4.1,Allgemeines,True,2,,2003-02-20,2018-08-01,2003-02-20,family_active_since,True,https://www.lexfind.ch/tol/24607/de,,0
24532,4.1-10.2,Vereinbarung über die Leistung von Schulbeiträgen für Auszubildende an Schulen der Sekundarstufe II --> 4.3-10.3.1,4,Schule - Wissenschaft - Kultur,4.1,Allgemeines,False,2,,2001-03-01,2001-08-13,2001-03-01,family_active_since,True,https://www.lexfind.ch/tol/24532/de,,0
24513,4.1-2,Vereinbarung der Innerschweizer Kantone über Ausbildungen für Berufe des Gesundheitswesens,4,Schule - Wissenschaft - Kultur,4.1,Allgemeines,True,2,,1998-10-20,1999-01-01,1998-10-20,family_active_since,True,https://www.lexfind.ch/tol/24513/de,,0
24546,4.1-3,Vereinbarung zwischen den Kantonen Appenzell A.Rh. und St.Gallen über die Primarschulverhältnisse von Schönengrund und St.Peterzell,4,Schule - Wissenschaft - Kultur,4.1,Allgemeines,True,2,,1973-02-26,1973-04-03,1973-02-26,family_active_since,True,https://www.lexfind.ch/tol/24546/de,AR SG,2
24533,4.1-4,Vereinbarung über die Musikschule Appenzeller Vorderland,4,Schule - Wissenschaft - Kultur,4.1,Allgemeines,True,2,,1981-08-27,1981-11-10,1981-08-27,family_active_since,True,https://www.lexfind.ch/tol/24533/de,,0
24534,4.1-5,Vereinbarung über die Schul- und Steuerverhältnisse in Grenzgebieten des Kantons St.Gallen zum Kanton Thurgau,4,Schule - Wissenschaft - Kultur,4.1,Allgemeines,True,2,,1987-08-28,1987-09-01,1987-08-28,family_active_since,True,https://www.lexfind.ch/tol/24534/de,SG TG,2
34556,4.1-6,Rahmenvertrag zwischen dem Kanton Thurgau und dem Kanton Zürich über den kantonsübergreifenden Schulbesuch,4,Schule - Wissenschaft - Kultur,4.1,Allgemeines,True,2,,2000-02-09,2000-01-01,2000-02-09,family_active_since,True,https://www.lexfind.ch/tol/34556/de,TG ZH,2
24479,4.2-1,Konkordat über die Schulkoordination,4,Schule - Wissenschaft - Kultur,4.2,"Vorschule, Primarstufe, Sekundarstufe I",True,2,,1970-12-07,1971-06-01,1970-12-07,family_active_since,True,https://www.lexfind.ch/tol/24479/de,,0
24522,4.2-3,Vereinbarung über den Schulbesuch der Kinder von Oberholz in Wald,4,Schule - Wissenschaft - Kultur,4.2,"Vorschule, Primarstufe, Sekundarstufe I",True,2,,1980-03-26,1980-04-23,1980-03-26,family_active_since,True,https://www.lexfind.ch/tol/24522/de,,0
24521,4.2-4,Vereinbarung über den Schulbesuch der Kinder aus dem Raum Kubel (Gemeinde Stein AR) in der Stadt St.Gallen,4,Schule - Wissenschaft - Kultur,4.2,"Vorschule, Primarstufe, Sekundarstufe I",True,2,,1990-05-22,1990-08-01,1990-05-22,family_active_since,True,https://www.lexfind.ch/tol/24521/de,SG,1
24537,4.2-5,Vereinbarung über den Schulbesuch der Kinder von Steinach auf der Oberstufe,4,Schule - Wissenschaft - Kultur,4.2,"Vorschule, Primarstufe, Sekundarstufe I",True,2,,1997-06-10,1998-08-01,1997-06-10,family_active_since,True,https://www.lexfind.ch/tol/24537/de,,0
35147,4.2-6,Vereinbarung über die Volksschulverhältnisse des Weilers Kapf (Gemeinde Oberegg AI),4,Schule - Wissenschaft - Kultur,4.2,"Vorschule, Primarstufe, Sekundarstufe I",True,2,,2003-12-02,2003-12-16,2003-12-02,family_active_since,True,https://www.lexfind.ch/tol/35147/de,,0
24525,4.3-10,Vereinbarung über die Beteiligung des Kantons Thurgau an der Kantonsschule Wil,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,1999-10-19,2012-06-01,1999-10-19,family_active_since,True,https://www.lexfind.ch/tol/24525/de,TG,1
34557,4.3-13,Vereinbarung über die Thurgauisch-Schaffhauserische Maturitätsschule für Erwachsene,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,1993-04-13,2018-01-01,1993-04-13,family_active_since,True,https://www.lexfind.ch/tol/34557/de,TG,1
34695,4.3-13.2,Reglement über die Maturitätsprüfungen an der Thurgauisch-Schaffhauserischen Maturitätsschule für Erwachsene,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,1995-12-05,2024-02-01,1995-12-05,family_active_since,True,https://www.lexfind.ch/tol/34695/de,TG,1
34668,4.3-2,Vereinbarung über die Leistung von Schulbeiträgen für Auszubildende an Schulen der Sekundarstufe II,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,2001-03-01,2001-08-13,2001-03-01,family_active_since,True,https://www.lexfind.ch/tol/34668/de,,0
24434,4.3-5,Interkantonale Vereinbarung über die Aufnahme von Schülern in die landwirtschaftlichen Schulen Sennwald und Flawil,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,1982-05-06,1982-10-01,1982-05-06,family_active_since,True,https://www.lexfind.ch/tol/24434/de,,0
24594,4.3-5.1,Vereinbarung über den Besuch der landwirtschaftlichen Schulen Sennwald und Flawil durch Schüler aus dem Fürstentum Liechtenstein,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,1988-07-05,1988-10-01,1988-07-05,family_active_since,True,https://www.lexfind.ch/tol/24594/de,,0
24531,4.3-6,Vereinbarung über die Interstaatliche Maturitätsschule für Erwachsene St.Gallen/Sargans,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,1992-08-18,1994-01-01,1992-08-18,family_active_since,True,https://www.lexfind.ch/tol/24531/de,SG,1
24469,4.3-7,Vereinbarung über den Ausbau und Betrieb der Interkantonalen Försterschule Maienfeld,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,1992-01-30,1992-02-07,1992-01-30,family_active_since,True,https://www.lexfind.ch/tol/24469/de,,0
24536,4.3-8,Vereinbarung über die Sekundar- und Realschulverhältnisse von Schönengrund,4,Schule - Wissenschaft - Kultur,4.3,Mittelschule / Sekundarstufe II,True,2,,1986-06-03,1986-04-16,1986-06-03,family_active_since,True,https://www.lexfind.ch/tol/24536/de,,0
